category_id	category_title	category_description	lesson_id	lesson_title	lesson_description	question_id	question_type	prompt	option_a	option_b	option_c	option_d	option_e	option_f	option_g	option_h	answer	accepted_answers	explanation						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-1	英コミュ1.1 / P.10-11 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-1-q11	fill-in-the-blank	空所に最も合う語を入れなさい: This anime is _____ on a popular comic. ～に基づいている									based	based	be based on は ～に基づいている という意味です。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-1	英コミュ1.1 / P.10-11 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-1-q12	fill-in-the-blank	空所に最も合う語を入れなさい: The show was _____ on TV in 2007. 放送された									broadcast	broadcast;broadcasted	broadcast は過去形・過去分詞でも broadcast の形で使えます。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-1	英コミュ1.1 / P.10-11 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-1-q13	fill-in-the-blank	空所に最も合う語を入れなさい: Some fans travel to the _____ where their favorite stories are set. 場所									locations	locations;location;site;sites	location と site はどちらも 場所 を表せます。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-1	英コミュ1.1 / P.10-11 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-1-q14	true-false	本文の内容と合っていれば TRUE、違っていれば FALSE を選びなさい: Lucky Star first appeared as a TV anime in 2003.									FALSE		Lucky Star は2003年に雑誌で発表され、テレビアニメはその後です。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-1	英コミュ1.1 / P.10-11 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-1-q15	true-false	本文の内容と合っていれば TRUE、違っていれば FALSE を選びなさい: Anime pilgrimage sites can attract fans from Japan and other countries.									TRUE		anime pilgrimage の場所は、日本や海外のファンを引きつけることがあります。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-2	英コミュ1.2 / P.12-13 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-2-q01	multiple-choice	本文の中心内容として最も合うものを選びなさい。	Lucky Star の登場人物の性格について説明している。	Washinomiya Shrine が anime pilgrimage の有名な例になったことを説明している。	Saitama のすべての神社の歴史を説明している。	日本の新年行事がだんだんなくなっていることを説明している。	アニメ制作会社の利益について説明している。	ファンがテレビ番組を作った方法を説明している。			Washinomiya Shrine が anime pilgrimage の有名な例になったことを説明している。	Washinomiya Shrine が anime pilgrimage の有名な例になったことを説明している。	Part 2 は Washinomiya Shrine が anime pilgrimage の有名な場所になったことを説明しています。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-2	英コミュ1.2 / P.12-13 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-2-q02	multiple-choice	本文の内容に合うものを選びなさい: Washinomiya Shrine はどこにありますか。	Saitama	Tokyo	Kyoto	Osaka	Hokkaido	Okinawa	Shikoku	Nagano	Saitama	Saitama	Washinomiya Shrine は Saitama にある神社です。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-2	英コミュ1.2 / P.12-13 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-2-q03	multiple-choice	本文の内容に合うものを選びなさい: ファンが Washinomiya Shrine を訪れ始めた理由として最も合うものはどれですか。	Lucky Star に出てくる神社が Washinomiya Shrine をモデルにしていたから。	Washinomiya Shrine がアニメ制作会社だったから。	Lucky Star の作者が神社で毎日サイン会をしたから。	Washinomiya Shrine がすべてのアニメの舞台だったから。	ファンは神社に行かないとアニメを見られなかったから。	その神社がテレビ放送を禁止したから。			Lucky Star に出てくる神社が Washinomiya Shrine をモデルにしていたから。	Lucky Star に出てくる神社が Washinomiya Shrine をモデルにしていたから。	アニメの中の神社が Washinomiya Shrine をモデルにしていたため、ファンが訪れ始めました。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-2	英コミュ1.2 / P.12-13 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-2-q04	multiple-choice	下線部の意味として最も近いものを選びなさい: was modeled on Washinomiya Shrine	Washinomiya Shrine をモデルにして作られた	Washinomiya Shrine によって禁止された	Washinomiya Shrine から遠く離れていた	Washinomiya Shrine を完全に忘れていた	Washinomiya Shrine を別の国に移した	Washinomiya Shrine の名前を変えた			Washinomiya Shrine をモデルにして作られた	Washinomiya Shrine をモデルにして作られた	be modeled on は ～をモデルにしている という意味です。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-2	英コミュ1.2 / P.12-13 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-2-q05	multiple-choice	下線部の意味として最も近いものを選びなさい: the connection came to be known quite widely	そのつながりがかなり広く知られるようになった	そのつながりが完全に消えてしまった	そのつながりが一人だけに知られていた	そのつながりが間違いだと証明された	そのつながりが海外で禁止された	そのつながりが雑誌から削除された			そのつながりがかなり広く知られるようになった	そのつながりがかなり広く知られるようになった	widely は 広く、come to be known は 知られるようになる という意味です。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-2	英コミュ1.2 / P.12-13 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-2-q06	multiple-choice	How many New Year’s visitors came to Washinomiya Shrine in 2007?	約13,000人	約130,000人	約300,000人	約470,000人	約1,300,000人	約3,100,000人			約130,000人	約130,000人	2007年の New Year’s visitors は約13万人でした。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-2	英コミュ1.2 / P.12-13 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-2-q07	multiple-choice	How many New Year’s visitors came to Washinomiya Shrine the next year?	約47,000人	約130,000人	約300,000人	約470,000人	約1,000,000人	約3,100,000人			約300,000人	約300,000人	翌年には約30万人に増えました。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-2	英コミュ1.2 / P.12-13 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-2-q08	multiple-choice	本文の内容に合うものを選びなさい: 2011年の New Year’s visitors は約何人でしたか。	約130,000人	約200,000人	約300,000人	約470,000人	約700,000人	約3,100,000人			約470,000人	約470,000人	2011年には約47万人に達しました。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-2	英コミュ1.2 / P.12-13 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-2-q09	multiple-choice	出来事の順番として最も自然なものを選びなさい。	ファンが気づく → アニメの中の神社がモデルにされる → 訪問者が増える → 経済効果が出る	アニメの中の神社がモデルにされる → ファンが気づく → つながりが広く知られる → 訪問者が増える	経済効果が出る → ファンが気づく → アニメが作られる → 訪問者が減る	訪問者が増える → 神社がなくなる → ファンが気づく → 雑誌で発表される	神社が海外に移る → ファンが気づく → 訪問者が増える → アニメが放送される				アニメの中の神社がモデルにされる → ファンが気づく → つながりが広く知られる → 訪問者が増える	アニメの中の神社がモデルにされる → ファンが気づく → つながりが広く知られる → 訪問者が増える	モデルにされたことにファンが気づき、そのつながりが広まり、訪問者が増えました。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-2	英コミュ1.2 / P.12-13 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-2-q10	multiple-choice	Why did the number of visitors to Washinomiya Shrine increase so much?	The shrine’s connection to an anime became famous, so many fans visited it.	The shrine gave free anime goods to every visitor.	The population of Saitama suddenly became much larger.	New Year’s visits were banned in other parts of Japan.	Lucky Star ended in 2007, so fans stopped visiting the shrine.	The shrine became a movie theater.			The shrine’s connection to an anime became famous, so many fans visited it.	The shrine’s connection to an anime became famous, so many fans visited it.	アニメとのつながりが広く知られ、多くのファンが神社を訪れたことが理由として合います。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-2	英コミュ1.2 / P.12-13 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-2-q11	multiple-choice	下線部の意味として最も近いものを選びなさい: many more fans rushed there	さらに多くのファンがそこに殺到した	さらに多くのファンがそこを避けた	さらに多くのファンがそこで眠った	さらに多くのファンがそこを売った	さらに多くのファンがそこを描いた	さらに多くのファンがそこを閉めた			さらに多くのファンがそこに殺到した	さらに多くのファンがそこに殺到した	rush there は そこへ急いで行く、そこへ殺到する という意味です。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-2	英コミュ1.2 / P.12-13 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-2-q12	fill-in-the-blank	空所に最も合う語を入れなさい: The anime shrine was _____ on a real shrine in Saitama. ～をモデルにしていた									modeled	modeled;modelled;based	be modeled on と be based on はどちらも ～をもとにしている という意味で使えます。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-2	英コミュ1.2 / P.12-13 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-2-q13	fill-in-the-blank	空所に最も合う語を入れなさい: The number of visitors _____ to about 300,000 the next year. 急増して～になった									jumped	jumped	jump to は 急増して～になる という意味で使えます。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-2	英コミュ1.2 / P.12-13 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-2-q14	fill-in-the-blank	空所に最も合う語を入れなさい: According to _____, the number of visitors increased. 統計によれば									statistics	statistics	according to statistics は 統計によれば という意味です。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-2	英コミュ1.2 / P.12-13 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-2-q15	true-false	本文の内容と合っていれば TRUE、違っていれば FALSE を選びなさい: The pilgrimages helped the local economy.									TRUE		pilgrimages は地域経済に約31億円をもたらしたと推定されています。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-2	英コミュ1.2 / P.12-13 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-2-q16	multiple-choice	local economy の意味として最も近いものを選びなさい。	地元のお店・仕事・お金の動き	地元の天気や気温	地元の有名なアニメキャラクター	地元の神社の建物だけ	全国の政治制度	海外旅行の計画	テレビ番組の放送時間	漫画雑誌のページ数	地元のお店・仕事・お金の動き	地元のお店・仕事・お金の動き	local economy は 地域経済、つまり地元のお金や仕事の動きのことです。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-2	英コミュ1.2 / P.12-13 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-2-q17	multiple-choice	connections の意味として合わないものを選びなさい。	人や物のつながり	人間関係	関連・関係性	知り合い・コネ	電車や飛行機の乗り継ぎ	ケーブルなどの接続	物語の舞台になっている場所	物事がどう関係しているか	物語の舞台になっている場所	物語の舞台になっている場所	connections は つながり・関係・接続・乗り継ぎ などを表しますが、場所そのものという意味ではありません。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-2	英コミュ1.2 / P.12-13 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-2-q18	multiple-choice	Which number means one billion?	1,000	10,000	100,000	1,000,000	10,000,000	100,000,000	1,000,000,000	3,100,000,000	1,000,000,000	1,000,000,000	one billion は 1,000,000,000、つまり10億です。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-3	英コミュ1.3 / P.14-15 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-3-q01	multiple-choice	本文の中心内容として最も合うものを選びなさい。	Anime pilgrimage sites no longer attract fans.	Anime pilgrimage brings events and souvenirs, but it can also cause problems for local people.	Washinomiya Shrine stopped selling character goods.	Local residents always dislike all anime fans.	Anime fans only visit sites to study Japanese history.	Anime events are held only in Tokyo.			Anime pilgrimage brings events and souvenirs, but it can also cause problems for local people.	Anime pilgrimage brings events and souvenirs, but it can also cause problems for local people.	Part 3 は anime pilgrimage の良い面と問題点の両方を説明しています。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-3	英コミュ1.3 / P.14-15 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-3-q02	multiple-choice	本文の内容に合うものを選びなさい: 地域が anime pilgrimage を活用している例として最も合うものはどれですか。	アニメに関係するイベントを開き、character goods などのおみやげを売っている。	すべてのファンに地域のお店へ行かないように言っている。	住宅地をすべて公式の写真スタジオに変えている。	地域の習慣をすべてアニメのルールに変えている。	制限区域をすべて自由に入れる場所にしている。	地元の人と訪問者の交流を禁止している。	神社を大都市へ移動させている。	アニメに関係する商品をすべて売るのをやめている。	アニメに関係するイベントを開き、character goods などのおみやげを売っている。	アニメに関係するイベントを開き、character goods などのおみやげを売っている。	本文ではイベントや souvenirs など、地域で anime pilgrimage を活用する例が説明されています。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-3	英コミュ1.3 / P.14-15 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-3-q03	multiple-choice	本文の内容に合うものを選びなさい: 多くのファンが anime pilgrimage sites を訪れる目的として合うものはどれですか。	おみやげを買うため。	写真を撮るため。	地域のすべてのルールを変えるため。	アニメの放送を止めるため。	制限区域を増やすため。	地元の人にわざと迷惑をかけるため。	神社や町を自分のものにするため。	テレビ局を建てるため。	おみやげを買うため。	おみやげを買うため。;写真を撮るため。	多くのファンは souvenirs を買ったり、photos を撮ったりするために訪れます。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-3	英コミュ1.3 / P.14-15 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-3-q04	multiple-choice	本文の内容に合うものを選びなさい: 一部のファンの行動が local residents に迷惑をかけることがあるのはなぜですか。	住宅地で騒がしくしたり、許可なく入ってはいけない場所に入ったりすることがあるから。	地元の人に必ずあいさつをするから。	公式イベントだけに参加するから。	おみやげを買ったあとすぐ帰るから。	写真を一枚も撮らないから。	地域の習慣をよく調べてから訪れるから。	地元の人と静かに交流しようとするから。	神社のルールを守るから。	住宅地で騒がしくしたり、許可なく入ってはいけない場所に入ったりすることがあるから。	住宅地で騒がしくしたり、許可なく入ってはいけない場所に入ったりすることがあるから。	一部のファンの行動が、地元の人々の生活に迷惑をかけることがあります。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-3	英コミュ1.3 / P.14-15 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-3-q05	multiple-choice	下線部の意味として最も近いものを選びなさい: a variety of souvenirs	さまざまなおみやげ	一つだけのおみやげ	とても高い入場料	地元の住民全員	アニメとは関係ない規則	撮影禁止の場所	静かな住宅地	古いテレビ番組	さまざまなおみやげ	さまざまなおみやげ	a variety of は さまざまな、いろいろな という意味です。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-3	英コミュ1.3 / P.14-15 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-3-q06	multiple-choice	下線部の意味として最も近いものを選びなさい: including character goods	キャラクター商品を含む	キャラクター商品を禁止する	キャラクター商品だけを返す	キャラクター商品を忘れる	キャラクター商品を隠す	キャラクター商品を撮影する			キャラクター商品を含む	キャラクター商品を含む	including は ～を含む という意味です。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-3	英コミュ1.3 / P.14-15 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-3-q07	multiple-choice	student にとって restricted area の実際の例として最も合うものを選びなさい。	コンビニの店員だけが入るバックヤード	交番の受付スペース	学校の廊下	図書館の読書スペース	駅の改札前の広場	先生に呼ばれて入る校長室	昼休みの教室	公園のベンチ	コンビニの店員だけが入るバックヤード	コンビニの店員だけが入るバックヤード	restricted area は、関係者以外が自由に入れない制限された場所です。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-3	英コミュ1.3 / P.14-15 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-3-q08	multiple-choice	without permission の意味として最も近いものを選びなさい。	許可を得ずに	許可をもらった後で	きまりを確認してから	係員の案内で	予約したうえで	静かに注意して	地元の人と一緒に	写真を撮らずに	許可を得ずに	許可を得ずに	without permission は 許可なく、許可を得ずに という意味です。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-3	英コミュ1.3 / P.14-15 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-3-q09	multiple-choice	in search of better photo spots の意味として最も近いものを選びなさい。	よりよい写真スポットを探して	写真を全部削除するために	写真を撮られないように	おみやげを売るために	地元の規則を作るために	イベントを中止するために	住民の家を買うために	アニメを放送するために	よりよい写真スポットを探して	よりよい写真スポットを探して	in search of は ～を探して、～を求めて という意味です。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-3	英コミュ1.3 / P.14-15 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-3-q10	multiple-choice	本文の内容に合うものを選びなさい: 一部のファンのどのような行動が問題になりますか。	許可なく制限区域に入ったり、住宅地でうるさくしたりすること。	地元の人と丁寧に話そうとすること。	おみやげを買ってすぐに帰ること。	公式イベントだけに参加すること。	地元の生活習慣を尊重すること。	神社のルールを守ること。			許可なく制限区域に入ったり、住宅地でうるさくしたりすること。	許可なく制限区域に入ったり、住宅地でうるさくしたりすること。	無断で restricted areas に入ることや、local neighborhoods で騒がしくすることが問題です。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-3	英コミュ1.3 / P.14-15 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-3-q11	multiple-choice	annoy の意味として最も近いものを選びなさい。	困らせる	尊重する	交流する	含む	訪問する	制限する	売る	続ける	困らせる	困らせる	annoy は 人を困らせる、いらだたせる という意味です。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-3	英コミュ1.3 / P.14-15 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-3-q12	multiple-choice	respect local customs and lifestyles の意味として最も近いものを選びなさい。	地元の習慣や生活様式を尊重する	地元の習慣や生活様式を無視する	地元の習慣や生活様式をすべて変える	地元の習慣や生活様式を写真に撮る	地元の習慣や生活様式を海外に売る	地元の習慣や生活様式をテレビで放送する			地元の習慣や生活様式を尊重する	地元の習慣や生活様式を尊重する	respect は 尊重する、customs は 習慣、lifestyles は 生活様式 です。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-3	英コミュ1.3 / P.14-15 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-3-q13	multiple-choice	この英文の to の働きとして最も合うものを選びなさい: Many fans visit the sites to buy souvenirs.	目的を表す to	場所を表す to	比較を表す to	所有を表す to	過去を表す to	受け身を表す to			目的を表す to	目的を表す to	to buy souvenirs は おみやげを買うために という目的を表します。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-3	英コミュ1.3 / P.14-15 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-3-q14	fill-in-the-blank	空所に最も合う語を入れなさい: Fans should not enter restricted areas without _____. 許可									permission	permission	permission は 許可 という意味です。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-3	英コミュ1.3 / P.14-15 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-3-q15	fill-in-the-blank	空所に最も合う語を入れなさい: Some fans walk around neighborhoods in _____ of good photo spots. ～を探して									search	search	in search of は ～を探して という意味です。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-3	英コミュ1.3 / P.14-15 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-3-q16	fill-in-the-blank	空所に最も合う語を入れなさい: Visitors should _____ local customs and lifestyles. 尊重する									respect	respect	respect は 尊重する という意味です。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-3	英コミュ1.3 / P.14-15 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-3-q17	true-false	本文の内容と合っていれば TRUE、違っていれば FALSE を選びなさい: All anime pilgrims in the passage respect local customs and lifestyles.									FALSE		一部の anime pilgrims は local customs and lifestyles を尊重していないと説明されています。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-3	英コミュ1.3 / P.14-15 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-3-q18	true-false	本文の内容と合っていれば TRUE、違っていれば FALSE を選びなさい: More visitors now try to communicate with local people.									TRUE		最近はより多くの訪問者が地元の人々と交流しようとしています。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-4	英コミュ1.4 / P.16-17 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-4-q01	multiple-choice	本文の中心内容として最も合うものを選びなさい。	Lucky Star の放送後も、ファンと地元の人々の関係が続き、地域に良い影響を与えている。	Lucky Star の放送後、ファンはすぐに Washinomiya Shrine に行かなくなった。	Anime Pilgrimages は日本文化にまったく関係がない。	地元の人々は Anime Pilgrims を完全に拒否している。	海外からの観光客は anime pilgrimage に興味を持たない。	Anime Pilgrimages は経済とは関係がない。			Lucky Star の放送後も、ファンと地元の人々の関係が続き、地域に良い影響を与えている。	Lucky Star の放送後も、ファンと地元の人々の関係が続き、地域に良い影響を与えている。	Part 4 は、ファンと地域の交流や相互理解、経済効果について説明しています。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-4	英コミュ1.4 / P.16-17 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-4-q02	multiple-choice	本文の内容に合うものを選びなさい: Lucky Star の放送が終わった後、ファンはどうしましたか。	地元の人々との交流を続けた。	Washinomiya Shrine を完全に忘れた。	アニメを見ることを法律で禁止された。	地元の人々と話すことをやめた。	その地域を別の県に移した。	全員が海外に移住した。			地元の人々との交流を続けた。	地元の人々との交流を続けた。	放送終了後も、ファンは地元の人々と交流を続けました。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-4	英コミュ1.4 / P.16-17 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-4-q03	multiple-choice	本文の内容に合うものを選びなさい: 最初、Anime Pilgrims は主に何をしようとしていましたか。	Lucky Star の世界を体験しようとしていた。	地元の政治制度を変えようとしていた。	日本全国の神社をすべて調べようとしていた。	アニメの放送局を作ろうとしていた。	地元の人々に英語を教えようとしていた。	地域の名前を変えようとしていた。			Lucky Star の世界を体験しようとしていた。	Lucky Star の世界を体験しようとしていた。	最初は、Lucky Star の世界を体験することが主な目的でした。						
